City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,fale old settlement,-9.3852,-171.2468,29.55,69,25,1.8,TK,1706492396
324,konarka,19.9,86.1167,15.22,59,51,1.68,IN,1706492397
325,choibalsan,48.0667,114.5,-23.88,82,100,3.1,MN,1706492397
326,shahrisabz,39.0578,66.8342,4.81,95,100,3.75,UZ,1706492397
327,sao joao da barra,-21.6403,-41.0511,23.88,94,100,0.39,BR,1706492397
328,ganjam,19.3833,85.0667,20.1,66,86,0.59,IN,1706492397
329,broome,42.2506,-75.833,1.78,97,100,3.1,US,1706492397
330,maturin,9.75,-63.1767,22.52,90,99,2.78,VE,1706492397
331,guanica,17.9716,-66.908,26.32,62,52,4.35,PR,1706492398
332,ugep,5.8086,8.0812,22.37,50,4,1.29,NG,1706492398
333,tralee,52.2704,-9.7026,5.26,90,100,1.15,IE,1706492398
334,tsiombe,-25.3,45.4833,22.61,83,14,5.55,MG,1706492398
335,polva,58.0603,27.0694,1.96,92,100,5.26,EE,1706492398
336,kichmengskiy gorodok,59.9816,45.7854,-8.36,95,100,2.68,RU,1706492398
337,tabou,4.423,-7.3528,26.15,85,17,2.35,CI,1706492399
338,tomatlan,19.9333,-105.25,20.77,88,88,1.03,MX,1706492399
339,tchintabaraden,15.8969,5.7985,16.42,24,0,5.23,NE,1706492399
340,oroville east,39.5113,-121.4752,18.29,72,0,0.0,US,1706492399
341,alice springs,-23.7,133.8833,34.75,10,43,2.57,AU,1706492399
342,rantauprapat,2.1,99.8333,26.26,84,79,1.69,ID,1706492399
343,jabat,7.75,168.9751,26.58,75,100,7.05,MH,1706492399
344,kismayo,-0.3582,42.5454,26.53,84,91,5.75,SO,1706492399
345,islamorada,24.9243,-80.6278,21.67,87,69,10.82,US,1706492400
346,pangkalanbuun,-2.6833,111.6167,27.74,83,97,0.68,ID,1706492400
347,shakhtinsk,49.71,72.5872,-25.21,100,85,0.73,KZ,1706492400
348,dalandzadgad,43.5708,104.425,-14.89,68,44,0.63,MN,1706492400
349,kitimat,54.0524,-128.6534,4.27,65,100,1.4,CA,1706492400
350,herriman,40.5141,-112.033,7.42,68,0,3.09,US,1706492210
351,guarapari,-20.6667,-40.4975,24.94,96,100,0.66,BR,1706492401
352,fisterra,42.9049,-9.2629,17.08,74,100,10.38,ES,1706492401
353,mukalla,14.5425,49.1242,23.37,81,100,1.71,YE,1706492401
354,sorgun,39.8101,35.186,-1.94,93,100,1.61,TR,1706492401
355,prainha,-1.8,-53.48,26.25,71,91,0.99,BR,1706492402
356,nykobing sjaelland,55.9249,11.6711,4.07,79,100,8.55,DK,1706492402
357,dwarka,22.2394,68.9678,20.84,78,64,3.21,IN,1706492402
358,batticaloa,7.7102,81.6924,26.08,82,94,6.42,LK,1706492402
359,wulingyuan,29.3494,110.5441,7.69,69,95,1.32,CN,1706492403
360,podgornoye,51.735,39.1496,-0.75,93,100,3.0,RU,1706492403
361,saipan,15.1355,145.701,28.39,57,40,9.26,MP,1706492403
362,new plymouth,-39.0667,174.0833,21.38,60,12,7.57,NZ,1706492385
